"Date","Parsha","Aliyah","Reading","Verses"
04-Oct-2008,"Vayeilech",1,"Deuteronomy 31:1 - 31:3",3
04-Oct-2008,"Vayeilech",2,"Deuteronomy 31:4 - 31:6",3
04-Oct-2008,"Vayeilech",3,"Deuteronomy 31:7 - 31:9",3
04-Oct-2008,"Vayeilech",4,"Deuteronomy 31:10 - 31:13",4
04-Oct-2008,"Vayeilech",5,"Deuteronomy 31:14 - 31:19",6
04-Oct-2008,"Vayeilech",6,"Deuteronomy 31:20 - 31:24",5
04-Oct-2008,"Vayeilech",7,"Deuteronomy 31:25 - 31:30",6
04-Oct-2008,"Vayeilech","maf","Deuteronomy 31:28 - 31:30",3
04-Oct-2008,"Vayeilech","Haftara","Hosea 14:2-10; Micah 7:18-20; Joel 2:15-27 (Shabbat Shuva)",

11-Oct-2008,"Ha'Azinu",1,"Deuteronomy 32:1 - 32:6",6
11-Oct-2008,"Ha'Azinu",2,"Deuteronomy 32:7 - 32:12",6
11-Oct-2008,"Ha'Azinu",3,"Deuteronomy 32:13 - 32:18",6
11-Oct-2008,"Ha'Azinu",4,"Deuteronomy 32:19 - 32:28",10
11-Oct-2008,"Ha'Azinu",5,"Deuteronomy 32:29 - 32:39",11
11-Oct-2008,"Ha'Azinu",6,"Deuteronomy 32:40 - 32:43",4
11-Oct-2008,"Ha'Azinu",7,"Deuteronomy 32:44 - 32:52",9
11-Oct-2008,"Ha'Azinu","maf","Deuteronomy 32:48 - 32:52",5
11-Oct-2008,"Ha'Azinu","Haftara","II Samuel 22:1 - 22:51",

25-Oct-2008,"Bereshit",1,"Genesis 1:1 - 2:3",34
25-Oct-2008,"Bereshit",2,"Genesis 2:4 - 2:19",16
25-Oct-2008,"Bereshit",3,"Genesis 2:20 - 3:21",27
25-Oct-2008,"Bereshit",4,"Genesis 3:22 - 4:18",21
25-Oct-2008,"Bereshit",5,"Genesis 4:19 - 4:22",4
25-Oct-2008,"Bereshit",6,"Genesis 4:23 - 5:24",28
25-Oct-2008,"Bereshit",7,"Genesis 5:25 - 6:8",16
25-Oct-2008,"Bereshit","maf","Genesis 6:5 - 6:8",4
25-Oct-2008,"Bereshit","Haftara","Isaiah 42:5 - 43:10",

01-Nov-2008,"Noach",1,"Genesis 6:9 - 6:22",14
01-Nov-2008,"Noach",2,"Genesis 7:1 - 7:16",16
01-Nov-2008,"Noach",3,"Genesis 7:17 - 8:14",22
01-Nov-2008,"Noach",4,"Genesis 8:15 - 9:7",15
01-Nov-2008,"Noach",5,"Genesis 9:8 - 9:17",10
01-Nov-2008,"Noach",6,"Genesis 9:18 - 10:32",44
01-Nov-2008,"Noach",7,"Genesis 11:1 - 11:32",32
01-Nov-2008,"Noach","maf","Genesis 11:29 - 11:32",4
01-Nov-2008,"Noach","Haftara","Isaiah 54:1 - 55:5",

08-Nov-2008,"Lech-Lecha",1,"Genesis 12:1 - 12:13",13
08-Nov-2008,"Lech-Lecha",2,"Genesis 12:14 - 13:4",11
